palabra	fuente	glosa	tipo	historia	frase	frases (max 6)
ma	copia de french-expat-lyon	my, female (ma)	determiner	si-je-gagne-tu-restes	“Ma boule est plus près”, dit Hugo.	3
main	copia de french-traveler	hand (la main)	noun	le-torchon-a-la-main	Le torchon à la main	6
mains	copia de french-expat-lyon	hands (la main)	noun	deux-carreaux-pour-hugo	Elle rit, les mains sur la tête.	1
maintenant	copia de french-traveler	now	adverb	le-torchon-a-la-main	“Comme ça, maintenant?”	4
mais	copia de french-traveler	but	conjunction	theo-ecoute-pour-lea	Léa écoute, mais il y a trop de bruit.	6
mange	copia de french-expat-lyon	to put food in your mouth and swallow (manger)	verb	treize-comme-avant	Il mange encore un peu.	1
matin	copia de french-traveler	morning (le matin)	noun	vingt-minutes-c-est-long	Le matin, le quai du métro est plein et étroit.	4
matins	copia de french-expat-lyon	mornings (le matin)	noun	a-samedi-hugo	“Tous les matins, je l'arrose.”	2
me	copia de french-expat-lyon	me, to me (me)	pronoun	les-mots-a-l-envers	Léa lit une phrase: “Tu me manques.”	5
merci	copia de french-expat-lyon	thank you (merci)	interjection	theo-ecoute-pour-lea	“Merci, Théo.	4
met	copia de french-expat-lyon	puts (mettre)	verb	theo-ecoute-pour-lea	Il met les écouteurs dans ses oreilles.	5
moi	copia de french-traveler	me	pronoun	theo-ecoute-pour-lea	Tu peux écouter pour moi?”, demande Léa.	6
moins	copia de french-expat-lyon	less (moins)	adverb	le-torchon-a-la-main	Hugo reste moins d'une minute.	2
monde	copia de french-traveler	world (le monde); everybody (tout le monde)	noun	trente-trois-bougies	Tout le monde dit: “Joyeux anniversaire!”	3
monte	copia de french-traveler	gets on, climbs (monter)	verb	le-torchon-a-la-main	Il monte là-haut, à la maison.	6
mouillée	copia de french-expat-lyon	wet, covered with water (mouillé)	adjective	une-plante-pour-lea	La terre est déjà mouillée, mais Léa arrose encore.	1
musique	copia de french-expat-lyon	sound people make with instruments (la musique)	noun	trente-trois-bougies	On entend la musique.	1
n	copia de french-expat-lyon	not (ne)	adverb	le-torchon-a-la-main	Léa monte, mais il n'y a pas de sonnette.	6
non	copia de french-traveler	no	adverb	tu-prends-la-carte	“Non!	6
nouvelle	copia de french-expat-lyon	new, female (nouveau)	adjective	mille-euros-sans-compter	Léa garde son argent pour une nouvelle machine.	4
on	copia de french-traveler	one, we, people in general	pronoun	vingt-minutes-c-est-long	Dehors, on entend le bateau du port.	6
oui	copia de french-traveler	yes	adverb	les-mots-a-l-envers	“Oui.	6
où	copia de french-expat-lyon	where (où)	adverb	theo-ecoute-pour-lea	J'oublie toujours où sont les tasses”, dit Théo.	1
paie	copia de french-expat-lyon	to give money for something (payer)	verb	le-torchon-a-la-main	Il est petit, et je paie cher.”	4
papier	copia de french-expat-lyon	thin white sheet you write on (le papier)	noun	la-boule-porte-bonheur	Louise coupe le papier avec les ciseaux.	2
par	copia de french-expat-lyon	by, through (par)	preposition	vingt-minutes-c-est-long	Le loyer coûte mille euros par mois.	1
parle	copia de french-traveler	speaks (parler)	verb	le-torchon-a-la-main	Léa parle tout le temps de Théo.	4
payer	copia de french-expat-lyon	to pay (payer)	verb	tu-prends-la-carte	La carte bleue, pour payer!”	1
perd	copia de french-expat-lyon	loses (perdre)	verb	treize-comme-avant	Personne ne perd exprès.	2
personne	copia de french-expat-lyon	not one single person (personne)	pronoun	treize-comme-avant	Mais personne ne triche”, dit Léa.	2
petit	copia de french-expat-lyon	small, not big at all (petit)	adjective	le-torchon-a-la-main	Il est petit, et je paie cher.”	3
petite	copia de french-traveler	small, little (petit)	adjective	le-fauteuil-descend	Chloé, une nouvelle voisine, a une petite camionnette.	1
peu	copia de french-traveler	little; a little (un peu)	adverb	vingt-minutes-c-est-long	“Tu marches un peu?”, demande Léa.	4
peut	copia de french-expat-lyon	can (pouvoir)	verb	a-samedi-hugo	Léa ne peut rien dire.	2
peut-être	copia de french-traveler	maybe, perhaps	adverb	des-pas-au-dessus	“Un jour, Hugo rentre, peut-être”, dit Antoine.	1
pose	copia de french-expat-lyon	to put a thing down on a surface (poser)	verb	le-torchon-a-la-main	Elle les pose sur l'étagère.	4
pour	copia de french-traveler	for	preposition	theo-ecoute-pour-lea	Théo écoute pour Léa	6
premier	copia de french-expat-lyon	first (premier)	adjective	a-samedi-hugo	C'est le premier jour de mars.	1
prend	copia de french-expat-lyon	takes (prendre)	verb	theo-ecoute-pour-lea	Théo prend le portable.	6
presque	copia de french-expat-lyon	almost, very close but not quite (presque)	adverb	vingt-minutes-c-est-long	Pour Léa, vingt minutes, c'est presque toute la ville.	3
propose	copia de french-expat-lyon	to offer something to somebody (proposer)	verb	deux-carreaux-pour-hugo	“Si tu rates, tu paies les cafés”, propose Hugo.	1
prêt	copia de french-expat-lyon	ready (prêt)	adjective	a-samedi-hugo	“Tu es prêt?”, demande Léa.	1
puis	copia de french-traveler	then, afterwards	adverb	une-goutte-chaque-nuit	Puis une autre goutte.	4
quartier	copia de french-expat-lyon	neighbourhood (le quartier)	noun	des-pas-au-dessus	“Elle aime le quartier.”	1
que	copia de french-expat-lyon	that, which (que)	pronoun	le-torchon-a-la-main	Elle ne veut pas écouter, parce que c'est triste.	2
quelqu	copia de french-expat-lyon	somebody (quelqu'un)	pronoun	des-pas-au-dessus	Quelqu'un prend la place de Hugo.	1
quelque	copia de french-expat-lyon	some, any (quelque); something (quelque chose)	adjective	deux-carreaux-pour-hugo	Hugo veut montrer quelque chose à Léa.	1
qui	copia de french-expat-lyon	who, which (qui)	pronoun	les-mots-a-l-envers	Qui est triste?”, demande Léa.	1
quoi	copia de french-expat-lyon	what (quoi)	pronoun	theo-ecoute-pour-lea	“Quoi?	4
range	copia de french-expat-lyon	to put things back in their place (ranger)	verb	le-torchon-a-la-main	Elle range la cafetière.	1
regarde	copia de french-traveler	looks at (regarder)	verb	vingt-minutes-c-est-long	Elle ne la regarde pas.	6
rentre	copia de french-expat-lyon	to go back home (rentrer)	verb	a-toi-la-boule	À la fin, il rentre chez lui.	2
reste	copia de french-expat-lyon	is still there (rester); what is left (le reste)	verb	le-torchon-a-la-main	Hugo reste moins d'une minute.	3
restent	copia de french-expat-lyon	they stay (rester)	verb	deux-carreaux-pour-hugo	Ils restent à l'ombre tout l'après-midi.	1
rien	copia de french-traveler	nothing; says nothing (ne dit rien)	pronoun	theo-ecoute-pour-lea	Je n'entends rien”, crie Léa.	6
rit	copia de french-traveler	laughs (rire)	verb	une-goutte-chaque-nuit	Il y a de l'eau partout!”, rit Léa.	6
rouge	copia de french-expat-lyon	red (rouge)	adjective	la-boule-porte-bonheur	Louise fait un nœud rouge.	3
répare	copia de french-expat-lyon	repairs (réparer)	verb	une-goutte-chaque-nuit	“Je répare ton robinet.	1
s	copia de french-expat-lyon	himself, herself (se)	pronoun	une-plante-pour-lea	“Tu l'arroses tous les matins, s'il te plaît?”	1
sa	copia de french-expat-lyon	his, her (sa)	determiner	vingt-minutes-c-est-long	Léa pose sa montre sur la table.	6
sait	copia de french-expat-lyon	to have something in your head as a fact (savoir)	verb	a-samedi-hugo	Léa sait: c'est l'inconnue de l'écharpe.	2
sans	copia de french-traveler	without	preposition	le-torchon-a-la-main	Sans lui, le café est grand et vide.	3
sent	copia de french-expat-lyon	smells; feels (sentir)	verb	la-boule-porte-bonheur	Le tiroir sent le café.	3
septembre	copia de french-expat-lyon	September (septembre)	noun	si-je-gagne-tu-restes	C'est la dernière partie de septembre.	1
ses	copia de french-traveler	his, her (plural)	pronoun	theo-ecoute-pour-lea	Il met les écouteurs dans ses oreilles.	3
si	copia de french-expat-lyon	if; so (si)	conjunction	si-je-gagne-tu-restes	Si je gagne, tu restes	5
silence	copia de french-expat-lyon	when nobody is making any sound (le silence)	noun	une-goutte-chaque-nuit	Elle est toute seule avec le silence.	1
soleil	copia de french-traveler	sun (le soleil)	noun	clara-tient-la-boule	C'est le printemps, et le soleil est chaud.	1
son	copia de french-traveler	his, her	pronoun	theo-ecoute-pour-lea	Il court entre les tables avec son plateau.	6
sonne	copia de french-expat-lyon	to make a ringing sound to call you (sonner)	verb	a-samedi-hugo	Ce matin, le réveil sonne tôt.	4
sont	copia de french-traveler	are (être)	verb	theo-ecoute-pour-lea	J'oublie toujours où sont les tasses”, dit Théo.	2
sort	copia de french-expat-lyon	to go out of a place (sortir)	verb	si-je-gagne-tu-restes	Léa sort les boules de son sac.	2
sourit	copia de french-traveler	smiles (sourire)	verb	theo-ecoute-pour-lea	“Bien sûr”, sourit Théo.	3
sous	copia de french-expat-lyon	under (sous)	preposition	les-mots-a-l-envers	Sous la lune, il y a une étoile.	6
suis	copia de french-expat-lyon	I am (être)	verb	les-mots-a-l-envers	Moi, je suis triste.	6
suite	copia de french-expat-lyon	right away (tout de suite)	phrase	l-annonce-du-couloir	Antoine veut louer l'appartement tout de suite.	1
sur	copia de french-traveler	on, on top of	preposition	theo-ecoute-pour-lea	Un message vocal arrive sur son portable.	6
sûr	copia de french-expat-lyon	sure (sûr)	adjective	theo-ecoute-pour-lea	“Bien sûr”, sourit Théo.	2
sœur	copia de french-expat-lyon	girl with the same parents as you (la sœur)	noun	la-boule-porte-bonheur	La sœur de Léa s'appelle Louise.	1
table	copia de french-expat-lyon	table (la table)	noun	vingt-minutes-c-est-long	Léa pose sa montre sur la table.	2
tables	copia de french-expat-lyon	flat furniture you put things on (la table)	noun	theo-ecoute-pour-lea	Il court entre les tables avec son plateau.	1
tard	copia de french-expat-lyon	late (tard)	adverb	vingt-minutes-c-est-long	Hugo arrive tôt au travail, et il part tard.	2
te	copia de french-expat-lyon	you, to you (te)	pronoun	le-torchon-a-la-main	“Léa, je te montre l'appartement!	4
temps	copia de french-expat-lyon	time (le temps); weather (le temps)	noun	le-torchon-a-la-main	Léa parle tout le temps de Théo.	2
tient	copia de french-expat-lyon	to hold, to keep in one state (tenir)	verb	clara-tient-la-boule	Clara tient la boule	1
toi	copia de french-expat-lyon	you (toi)	pronoun	le-torchon-a-la-main	“À toi, Hugo.	6
toit	copia de french-expat-lyon	roof (le toit)	noun	la-ligne-coupe-apres-hugo	Sur le toit, le linge sèche entre les cheminées.	1
tombe	copia de french-traveler	falls (tomber)	verb	une-goutte-chaque-nuit	Une goutte tombe du robinet.	1
ton	copia de french-traveler	your	pronoun	une-goutte-chaque-nuit	“Je répare ton robinet.	4
touche	copia de french-traveler	touches (toucher)	verb	treize-comme-avant	Elle touche le cochonnet.	2
toujours	copia de french-traveler	always; still	adverb	theo-ecoute-pour-lea	J'oublie toujours où sont les tasses”, dit Théo.	6
tous	copia de french-expat-lyon	all, everybody (tous)	determiner	vingt-minutes-c-est-long	Ils regardent le plan tous les deux.	6
tout	copia de french-traveler	all; everybody (tout le monde)	pronoun	le-torchon-a-la-main	Léa parle tout le temps de Théo.	6
toute	copia de french-expat-lyon	all, whole (toute)	determiner	une-goutte-chaque-nuit	Elle est toute seule avec le silence.	3
trop	copia de french-expat-lyon	too much (trop)	adverb	theo-ecoute-pour-lea	Léa écoute, mais il y a trop de bruit.	2
très	copia de french-expat-lyon	very (très)	adverb	une-boule-sous-le-platane	“Très près.	1
tu	copia de french-traveler	you (informal)	pronoun	theo-ecoute-pour-lea	Tu peux écouter pour moi?”, demande Léa.	6
tête	copia de french-expat-lyon	head (la tête)	noun	le-torchon-a-la-main	Léa secoue la tête.	3
tôt	copia de french-expat-lyon	early, before the usual time (tôt)	adverb	vingt-minutes-c-est-long	Hugo arrive tôt au travail, et il part tard.	3
valise	copia de french-expat-lyon	suitcase (la valise)	noun	a-samedi-hugo	Hugo descend avec une valise lourde.	2
vent	copia de french-traveler	wind (le vent)	noun	la-ligne-coupe-apres-hugo	Le vent est froid, et Léa est seule.	1
verte	copia de french-traveler	green (vert)	adjective	clara-tient-la-boule	Clara a une casquette verte et des lunettes.	2
veut	copia de french-expat-lyon	wants (vouloir)	verb	le-torchon-a-la-main	Elle ne veut pas écouter, parce que c'est triste.	6
veux	copia de french-expat-lyon	I want (vouloir)	verb	a-samedi-hugo	Je ne veux pas pleurer.”	3
vide	copia de french-expat-lyon	with nothing and nobody inside (vide)	adjective	le-torchon-a-la-main	Sans lui, le café est grand et vide.	4
vieille	copia de french-expat-lyon	old, female (vieux)	adjective	l-annonce-du-couloir	Et si je vends ma vieille machine?”	2
viens	copia de french-expat-lyon	I come (venir)	verb	tu-prends-la-carte	“D'où tu viens?”, demande Léa.	1
vieux	copia de french-expat-lyon	old, from a long time ago (vieux)	adjective	trente-trois-bougies	“Trente-trois ans, c'est vieux!”, rit Hugo.	4
ville	copia de french-expat-lyon	town, city (la ville)	noun	vingt-minutes-c-est-long	Pour Léa, vingt minutes, c'est presque toute la ville.	1
vite	copia de french-traveler	fast, quickly	adverb	vingt-minutes-c-est-long	“Et le métro va vite?”	2
voilà	copia de french-expat-lyon	there it is (voilà)	adverb	une-goutte-chaque-nuit	“Voilà.	4
voit	copia de french-expat-lyon	to notice something with your eyes (voir)	verb	des-pas-au-dessus	Là-haut, on ne voit rien.	1
voiture	copia de french-expat-lyon	car (la voiture)	noun	vingt-minutes-c-est-long	Mais je n'ai pas besoin de voiture.”	4
voix	copia de french-expat-lyon	sound you make when you speak (la voix)	noun	la-ligne-coupe-apres-hugo	La voix de Hugo est claire.	1
vrai	copia de french-expat-lyon	true, real and not invented (vrai)	adjective	les-mots-a-l-envers	“C'est vrai?	2
y	copia de french-traveler	there is, there are (il y a)	pronoun	theo-ecoute-pour-lea	Il y a du bruit dans le café.	6
à	copia de french-traveler	at, to, in	preposition	theo-ecoute-pour-lea	Il est à Paris, loin d'ici.	6
ça	copia de french-expat-lyon	that, this (ça)	pronoun	le-torchon-a-la-main	“Comme ça, maintenant?”	6
écoute	copia de french-traveler	listens (écouter)	verb	theo-ecoute-pour-lea	Théo écoute pour Léa	4
écrit	copia de french-expat-lyon	to put words on paper or on a screen (écrire)	verb	tu-prends-la-carte	Sur l'ardoise, elle écrit: “Carte bleue: non.”	5
